type	severity	eject	weight	y
1	1	0	1	95
1	1	0	2	166
1	1	0	3	1279
1	1	1	1	8
1	1	1	2	7
1	1	1	3	65
1	2	0	1	31
1	2	0	2	34
1	2	0	3	506
1	2	1	1	2
1	2	1	2	5
1	2	1	3	51
1	3	0	1	11
1	3	0	2	17
1	3	0	3	186
1	3	1	1	4
1	3	1	2	5
1	3	1	3	54
2	1	0	1	34
2	1	0	2	55
2	1	0	3	599
2	1	1	1	5
2	1	1	2	6
2	1	1	3	46
2	2	0	1	8
2	2	0	2	34
2	2	0	3	241
2	2	1	1	2
2	2	1	2	4
2	2	1	3	26
2	3	0	1	5
2	3	0	2	10
2	3	0	3	89
2	3	1	1	0
2	3	1	2	1
2	3	1	3	30
3	1	0	1	23
3	1	0	2	18
3	1	0	3	65
3	1	1	1	6
3	1	1	2	5
3	1	1	3	11
3	2	0	1	22
3	2	0	2	17
3	2	0	3	118
3	2	1	1	18
3	2	1	2	9
3	2	1	3	68
3	3	0	1	5
3	3	0	2	2
3	3	0	3	23
3	3	1	1	5
3	3	1	2	6
3	3	1	3	33
4	1	0	1	9
4	1	0	2	10
4	1	0	3	83
4	1	1	1	6
4	1	1	2	2
4	1	1	3	11
4	2	0	1	23
4	2	0	2	26
4	2	0	3	177
4	2	1	1	13
4	2	1	2	16
4	2	1	3	78
4	3	0	1	8
4	3	0	2	9
4	3	0	3	86
4	3	1	1	7
4	3	1	2	6
4	3	1	3	86

